11 Hz: Binaural Beats (Alpha Waves),Miracle Healing Tones TP,1836
eternal sunshine,Ariana Grande,1115
eternal sunshine deluxe: brighter days ahead,Ariana Grande,677
Hounds Of Love,Kate Bush,623
Short n' Sweet,Sabrina Carpenter,400
Punisher,Phoebe Bridgers,395
Salihi x Ferizi,Mc Kresha,378
Walking On A Dream,Empire Of The Sun,356
Hurry Up Tomorrow,The Weeknd,334
Lust For Life,Lana Del Rey,330
Cry,The Sundays,277
RapsodÃ«t N'rap T'sotit,Mc Kresha,242
The Bends,Radiohead,231
Norman Fucking Rockwell!,Lana Del Rey,220
"Alright, Still",Lily Allen,218
Manâ€™s Best Friend,Sabrina Carpenter,217
