Zjerm,102
Chinese Satellite,60
twilight zone,56
Remember When,47
Running Up That Hill (A Deal With God),45
We Are The People,40
Heartthrob,39
Bleed (feat. Omar Apollo),35
Cloudbusting - 2018 Remaster,35
Hounds Of Love,35
The Big Sky - 2018 Remaster,34
Suedehead - 2011 Remaster,31
Walk On By,31
Your World is Eternally Complete - 2021 Remaster,31
Thana,31
Oj hanÃ« by Muharrem Qena,30
dandelion,29
Standing On The Shore,28
PranverÃ« E Bukur,27
Balerina,25
Molla E ParÃ«,25
Loco,24
Deslocado,24
Get Free,24
Neser shkoj,24
bye,24
Era E Saj,23
Love for Fatherland,21
eternal sunshine,21
Hajde ma knej,21
Killshot,21
Summertime,21
Perfect Crime,21
ICU,20
Shut Up,20
Balada E Gurit,20
I Know There's Something Going On,20
After Hours,20
