Ariana Grande,791
Shkodra Elektronike,625
Lana Del Rey,591
Kate Bush,493
Phoebe Bridgers,432
Mc Kresha,344
Little Mix,220
Empire Of The Sun,198
Lola Young,182
Beyonc̩,180
Taylor Swift,147
Fleetwood Mac,140
Tayna,136
Agron Pllumaj,128
Radiohead,125
Pyotr Ilyich Tchaikovsky,124
Malcolm Todd,121
Sweet Trip,120
Frederik Ndoci,119
Shpat Deda,118
Elvana Gjata,117
Faye Webster,117
Imogen Heap,115
NAPA,110
Sabrina Carpenter,110
The Weeknd,109
Dhurata Dora,107
The Sundays,105
Lady Gaga,103
Mac Miller,102
Rihanna,101
SZA,101
