Zjerm,292
Running Up That Hill (A Deal With God),120
We Are The People,101
Chinese Satellite,96
Balerina,75
ICU,63
Walk On By,61
Loco,60
Deslocado,54
Hounds Of Love,53
Balada E Gurit,52
VONE,52
Remember When,42
Zjerm - Eurovision 2025 - Albania / Karaoke,41
Simulation Swarm,41
Juno,41
Summertime,39
Zjarr E Akull,38
dandelion,37
Your World is Eternally Complete - 2021 Remaster,36
Thana,36
LOVE,34
twilight zone,34
Molla E ParÃ«,34
Neser shkoj,34
PranverÃ« E Bukur,33
What a Feeling,32
Haunted,32
Get Free,31
Suedehead - 2011 Remaster,30
Scott Street,30
Judas,29
Times Like These,29
"Paris, Texas (feat. SYML)",28
The Big Sky - 2018 Remaster,28
Sometimes,28
End of Beginning,28
bye,28
Dreams - 2004 Remaster,27
Just for Now,27
Hajde ma knej,26
Suit & Tie (feat. JAY-Z),26
U Are My High,25
Heartthrob,25
Killshot,25
"New To You (with Normani, Tinashe, & Offset)",25
Knock 'Em Out,24
Lead the Way,24
Shut Up,24
PUSH 2 START,23
Cloudbusting - 2018 Remaster,23
After Hours,23
Dangerous Days,22
No Idea,22
So High,22
Standing On The Shore,21
The Boy Is Mine,21
Love You Like A Love Song,21
Jbmtqr,21
Era E Saj,21
Attention,21
Bleed (feat. Omar Apollo),21
Fell In Luv (feat. Bryson Tiller),20
"Girl, so confusing featuring lorde",20
e-Asphyxiation,20
Just Dance,20
Let The Light In (feat. Father John Misty),20
ÙƒÙ„Ø§Ù… Ø¹ÙŠÙ†ÙŠÙ‡,20
